acc_X_rms,class_label,window_id
0.11215835320906258,Abnormal,200W_S17_CCW_R4_W0360
0.15571080420835298,Abnormal,200W_S10_CW_R4_W0341
0.12084344892909052,Abnormal,200W_S07_CW_R4_W0602
0.1393617578042074,Normal,200W_S02_CW_R4_W0452
0.11253856662810065,Abnormal,200W_S10_CCW_R4_W0333
0.11063471879345303,Normal,100W_S06_CW_R4_W0126
0.12383737612999822,Abnormal,100W_S03_CCW_R4_W0057
0.11450524918783896,Abnormal,100W_S07_CCW_R4_W0136
0.07696028219946006,Abnormal,100W_S09_CW_R4_W0190
0.1669202802794706,Abnormal,200W_S19_CCW_R4_W0406
0.12813155599818876,Abnormal,200W_S17_CCW_R4_W0357
0.17879155490817686,Abnormal,200W_S04_CW_R4_W0527
0.10237116949914175,Abnormal,100W_S20_CCW_R4_W0275
0.14857612306521154,Abnormal,200W_S19_CCW_R4_W0400
0.09488345893941355,Abnormal,100W_S18_CW_R4_W0249
0.13567323712151738,Normal,200W_S02_CW_R4_W0448
0.14887041336737172,Abnormal,200W_S10_CW_R4_W0344
0.10745896757879615,Abnormal,100W_S08_CW_R4_W0167
0.15048739254961732,Abnormal,200W_S04_CCW_R4_W0515
0.12392199570036776,Abnormal,100W_S07_CW_R4_W0153
0.1393617578042074,Normal,200W_S02_CW_R4_W0468
0.20337150138769483,Abnormal,200W_S04_CCW_R4_W0517
0.17051385840235375,Abnormal,200W_S19_CCW_R4_W0399
0.6407061853688736,Abnormal,200W_S01_CCW_R4_W0313
0.12077510579676315,Abnormal,200W_S17_CCW_R4_W0359
0.08784304893216091,Abnormal,100W_S19_CW_R4_W0266
0.21065094813799562,Abnormal,200W_S18_CW_R4_W0387
0.08513099479548265,Abnormal,100W_S19_CW_R4_W0269
0.15102276690210412,Abnormal,200W_S10_CW_R4_W0349
1.0181014596440432,Abnormal,200W_S01_CW_R4_W0324
0.16419632635861664,Normal,200W_S02_CW_R4_W0446
0.12351003069192965,Abnormal,100W_S02_CW_R4_W0053
0.10199195342427168,Abnormal,100W_S20_CCW_R4_W0282
0.16006781461593145,Abnormal,200W_S06_CW_R4_W0574
0.13884775464095106,Abnormal,200W_S06_CW_R4_W0579
0.24985451365001676,Abnormal,200W_S08_CW_R4_W0620
0.13926652065162662,Abnormal,200W_S10_CW_R4_W0342
0.0873354230460427,Abnormal,100W_S09_CCW_R4_W0177
0.7219720993418783,Abnormal,200W_S01_CCW_R4_W0296
0.1328355542294563,Abnormal,100W_S02_CCW_R4_W0038
0.13472396012350984,Normal,200W_S02_CW_R4_W0430
0.13164363513162006,Abnormal,100W_S03_CW_R4_W0071
